escenario,ZONA,n_paradas,cupos_total,n_viajes_camion,horas_conduccion_total,horas_viaje_con_ventanas,km_total_rutas
Comedor,1,12,3435,1,1.451,3.284,57.687
Comedor,2,6,1541,1,0.687,1.52,27.369
Comedor,3,23,9169,2,2.2,5.7,93.396
Comedor,4,17,9296,2,2.384,4.884,104.144
Comedor,5,8,2074,1,0.758,1.925,34.193
Comedor,6,12,2987,1,1.468,3.301,60.623
Comedor,7,18,6344,2,1.889,4.556,75.595
Comedor,8,8,1844,1,0.774,1.94,30.764
Comedor,9,25,5534,2,2.351,6.185,92.229
Comedor,10,19,8064,2,3.232,6.065,170.101
Comedor,11,17,8182,2,1.817,4.317,82.439
Comedor,12,20,6152,2,2.109,5.109,93.018
Desayuno_merienda,1,23,6734,2,2.228,5.728,88.177
Desayuno_merienda,2,23,5188,2,2.176,5.676,94.603
Desayuno_merienda,3,26,10979,3,2.796,6.63,130.929
Desayuno_merienda,4,20,10855,3,3.023,5.857,135.189
Desayuno_merienda,5,18,6610,2,1.929,4.595,81.819
Desayuno_merienda,6,19,4535,1,1.777,4.777,66.262
Desayuno_merienda,7,29,8831,2,2.246,6.746,89.316
Desayuno_merienda,8,19,4348,1,2.574,5.574,109.464
Desayuno_merienda,9,34,8460,2,2.666,7.999,104.986
Desayuno_merienda,10,20,9115,2,3.32,6.32,172.779
Desayuno_merienda,11,18,9015,2,1.817,4.484,82.439
Desayuno_merienda,12,20,6255,2,2.109,5.109,93.018
Patios_coros_sabado,1,1,35,1,0.629,0.629,33.472
Patios_coros_sabado,2,1,205,1,0.625,0.625,30.921
Patios_coros_sabado,3,4,182,1,0.923,1.423,43.057
Patios_coros_sabado,4,1,36,1,0.602,0.602,27.177
Patios_coros_sabado,5,0,0,0,,,
Patios_coros_sabado,6,0,0,0,,,
Patios_coros_sabado,7,2,100,1,0.695,0.861,31.7
Patios_coros_sabado,8,0,0,0,,,
Patios_coros_sabado,9,2,49,1,0.387,0.553,16.661
Patios_coros_sabado,10,3,150,1,0.679,1.013,33.899
Patios_coros_sabado,11,3,135,1,0.742,1.076,35.921
Patios_coros_sabado,12,0,0,0,,,
