cod_a,cod_b,Direccion,Nivel,Escuela,Cupos Mensuales modulos alimentarios,Cupos por día Comedor,Cupos por día Desayuno/Merienda,Cupos Patios Abiertos/Coros y Orquestas Sábado,DMC+COMEDOR,ZONA,lat,lon,geocode_display,Calle,Altura,Localidad,Provincia,Direccion_formateada
22.0,60281500.0,Llaroque 1231,PP,49,230,0,247,0,247,1,-34.7394312,-58.4328766,"Larroque, Autopista Camino Negro, Santa Marta, Villa Centenario, Partido de Lomas de Zamora, Buenos Aires, B1828HGV, Argentina",Llaroque,1231,Lomas de Zamora (referencia),Buenos Aires,"Llaroque, 1231, Lomas de Zamora (referencia), Buenos Aires"
15.0,61977500.0,Ayolas 1135,MS,56,400,300,400,0,700,1,-34.708243,-58.4365432,"Ayolas, Villa Fiorito, Partido de Lomas de Zamora, Buenos Aires, 1827, Argentina",Ayolas,1135,Lomas de Zamora (referencia),Buenos Aires,"Ayolas, 1135, Lomas de Zamora (referencia), Buenos Aires"
9.0,62408200.0,Anchoris 4566 Temperley Este,JI CC,2,150,100,100,0,200,1,-34.7633164,-58.3756688,"Anchorena, 1835, Temperley, Buenos Aires, Argentina",Anchoris  Temperley Este,4566,Temperley,Buenos Aires,"Anchoris  Temperley Este, 4566, Temperley, Buenos Aires"
12.0,61130300.0,Viamonte 1567,MS,6,420,0,600,0,600,1,-34.7432808,-58.388239,"Escuela Media Nº6, 1567, J. J. Viamonte, Banfield, Partido de Lomas de Zamora, Buenos Aires, 1828, Argentina",Viamonte,1567,Lomas de Zamora (referencia),Buenos Aires,"Viamonte, 1567, Lomas de Zamora (referencia), Buenos Aires"
11.0,61047600.0,Hipólito Yrigoyen 7731,MS,1,450,0,500,0,500,1,-34.7453466,-58.3995995,"7731, Avenida Hipólito Yrigoyen, Banfield, Partido de Lomas de Zamora, Buenos Aires, B1828, Argentina",Hipólito Yrigoyen,7731,Lomas de Zamora (referencia),Buenos Aires,"Hipólito Yrigoyen, 7731, Lomas de Zamora (referencia), Buenos Aires"
16.0,61869300.0,Viamonte 436,MS,63,75,126,95,0,221,1,-34.7566317,-58.391327,"436, J. J. Viamonte, Lomas de Zamora, Partido de Lomas de Zamora, Buenos Aires, 1832, Argentina",Viamonte,436,Lomas de Zamora (referencia),Buenos Aires,"Viamonte, 436, Lomas de Zamora (referencia), Buenos Aires"
24.0,60148400.0,Manuel Castro 990,PP,91,375,0,0,0,0,1,-34.7487797,-58.4024221,"Ensam, 990, Senador Manuel Castro, Banfield, Partido de Lomas de Zamora, Buenos Aires, 1832, Argentina",Manuel Castro,990,Lomas de Zamora (referencia),Buenos Aires,"Manuel Castro, 990, Lomas de Zamora (referencia), Buenos Aires"
13.0,61076700.0,Manuel Castro 990,MS,21,451,1275,1100,0,2375,1,-34.7487797,-58.4024221,"Ensam, 990, Senador Manuel Castro, Banfield, Partido de Lomas de Zamora, Buenos Aires, 1832, Argentina",Manuel Castro,990,Lomas de Zamora (referencia),Buenos Aires,"Manuel Castro, 990, Lomas de Zamora (referencia), Buenos Aires"
7.0,60281600.0,Manuel Castro 990,JI,933,218,0,218,0,218,1,-34.7487797,-58.4024221,"Ensam, 990, Senador Manuel Castro, Banfield, Partido de Lomas de Zamora, Buenos Aires, 1832, Argentina",Manuel Castro,990,Lomas de Zamora (referencia),Buenos Aires,"Manuel Castro, 990, Lomas de Zamora (referencia), Buenos Aires"
1.0,61137700.0,Alvear 563,EE,503,60,60,111,0,171,1,-34.7529442,-58.4068783,"563, General Carlos María de Alvear, Lomas de Zamora, Partido de Lomas de Zamora, Buenos Aires, B1828, Argentina",Alvear,563,Lomas de Zamora (referencia),Buenos Aires,"Alvear, 563, Lomas de Zamora (referencia), Buenos Aires"
3.0,60880100.0,Castelli 840,JI,902,130,0,135,0,135,1,-34.7524762,-58.407524,"840, Juan José Castelli, Lomas de Zamora, Partido de Lomas de Zamora, Buenos Aires, B1832, Argentina",Castelli,840,Lomas de Zamora (referencia),Buenos Aires,"Castelli, 840, Lomas de Zamora (referencia), Buenos Aires"
5.0,60106000.0,Juncal 240,JI,919,110,0,110,0,110,1,-34.7692992,-58.3948739,"240, Juncal, Temperley, Partido de Lomas de Zamora, Buenos Aires, B1832DEF, Argentina",Juncal,240,Lomas de Zamora (referencia),Buenos Aires,"Juncal, 240, Lomas de Zamora (referencia), Buenos Aires"
10.0,62408500.0,Monroe 355 Temperley,JI CC,3,70,55,55,0,110,1,-34.7758816,-58.3971199,"Temperley, Buenos Aires, Argentina",Monroe  Temperley,355,Temperley,Buenos Aires,"Monroe  Temperley, 355, Temperley, Buenos Aires"
19.0,60864200.0,Hipólito Yrigoyen 9243,PP,9,262,242,242,0,484,1,-34.7633025,-58.4033619,"9243, Avenida Hipólito Yrigoyen, Lomitas, Lomas de Zamora, Partido de Lomas de Zamora, Buenos Aires, B1832, Argentina",Hipólito Yrigoyen,9243,Lomas de Zamora (referencia),Buenos Aires,"Hipólito Yrigoyen, 9243, Lomas de Zamora (referencia), Buenos Aires"
14.0,61795600.0,Jose Maria Penna 99,MS,34,395,0,650,0,650,1,-34.7582647,-58.4108071,"Escuela Primaria 21, 99, Doctor José María Penna, Lomas de Zamora, Partido de Lomas de Zamora, Buenos Aires, 1832, Argentina",Jose Maria Penna,99,Lomas de Zamora (referencia),Buenos Aires,"Jose Maria Penna, 99, Lomas de Zamora (referencia), Buenos Aires"
6.0,60791700.0,Jose Maria Penna 93,JI,930,120,0,120,0,120,1,-34.7581944,-58.4109198,"93, Doctor José María Penna, Lomas de Zamora, Partido de Lomas de Zamora, Buenos Aires, B1832, Argentina",Jose Maria Penna,93,Lomas de Zamora (referencia),Buenos Aires,"Jose Maria Penna, 93, Lomas de Zamora (referencia), Buenos Aires"
2.0,60192300.0,Jose Maria Penna 93,JI,901,150,0,160,0,160,1,-34.7581944,-58.4109198,"93, Doctor José María Penna, Lomas de Zamora, Partido de Lomas de Zamora, Buenos Aires, B1832, Argentina",Jose Maria Penna,93,Lomas de Zamora (referencia),Buenos Aires,"Jose Maria Penna, 93, Lomas de Zamora (referencia), Buenos Aires"
18.0,62456300.0,Larroque 2200,MS,89,0,45,45,0,90,1,-34.7433427,-58.4100662,"Avenida Alberto Larroque, Banfield, Partido de Lomas de Zamora, Buenos Aires, 1828, Argentina",Larroque,2200,Lomas de Zamora (referencia),Buenos Aires,"Larroque, 2200, Lomas de Zamora (referencia), Buenos Aires"
23.0,60397900.0,Gabriel Miró 944,PP,70,400,400,400,35,800,1,-34.7241926,-58.439518,"944, Gabriel Miró, Villa Centenario, Partido de Lomas de Zamora, Buenos Aires, 1827, Argentina",Gabriel Miró,944,Lomas de Zamora (referencia),Buenos Aires,"Gabriel Miró, 944, Lomas de Zamora (referencia), Buenos Aires"
17.0,61899700.0,Ostende 1260,MS,87,250,200,296,0,496,1,-34.7241604,-58.440293,"1260, Ostende, Villa Centenario, Partido de Lomas de Zamora, Buenos Aires, 1827, Argentina",Ostende,1260,Lomas de Zamora (referencia),Buenos Aires,"Ostende, 1260, Lomas de Zamora (referencia), Buenos Aires"
4.0,61097700.0,Av. Meeks 778,JI,906,100,0,111,0,111,1,-34.7615463,-58.3983414,"Avenida Meeks, Lomitas, Lomas de Zamora, Partido de Lomas de Zamora, Buenos Aires, B1832AHQ, Argentina",Av. Meeks,778,Lomas de Zamora (referencia),Buenos Aires,"Av. Meeks, 778, Lomas de Zamora (referencia), Buenos Aires"
21.0,60933900.0,Meeks 778,PP,37,440,486,486,0,972,1,-34.762768,-58.3985533,"Avenida Meeks, Lomitas, Lomas de Zamora, Partido de Lomas de Zamora, Buenos Aires, B1832DEF, Argentina",Meeks,778,Lomas de Zamora (referencia),Buenos Aires,"Meeks, 778, Lomas de Zamora (referencia), Buenos Aires"
20.0,61047800.0,Alvear 1715,PP,15,330,0,336,0,336,1,-34.7389709,-58.403935,"1715, General Carlos María de Alvear, Banfield, Partido de Lomas de Zamora, Buenos Aires, 1828, Argentina",Alvear,1715,Lomas de Zamora (referencia),Buenos Aires,"Alvear, 1715, Lomas de Zamora (referencia), Buenos Aires"
8.0,62453200.0,Calle 109 Nº 1340,JI,953,140,146,217,0,363,1,-34.7507727,-58.4653111,"Calle 109, Santa Catalina, Partido de Lomas de Zamora, Buenos Aires, 1839, Argentina",Calle 109 Nº,1340,Lomas de Zamora (referencia),Buenos Aires,"Calle 109 Nº, 1340, Lomas de Zamora (referencia), Buenos Aires"
,,Belgrano 1645,JI,903,150,0,150,0,150,2,-34.7432754,-58.3916316,"1645, Belgrano, Banfield, Partido de Lomas de Zamora, Buenos Aires, 1828, Argentina",Belgrano,1645,Lomas de Zamora (referencia),Buenos Aires,"Belgrano, 1645, Lomas de Zamora (referencia), Buenos Aires"
,,Medrano 175,JI,904,170,0,175,0,175,2,-34.7484194,-58.393011,"175, Medrano, Banfield, Partido de Lomas de Zamora, Buenos Aires, 1828, Argentina",Medrano,175,Lomas de Zamora (referencia),Buenos Aires,"Medrano, 175, Lomas de Zamora (referencia), Buenos Aires"
,,Suipacha 362,JI,909,60,0,70,0,70,2,-34.7908064,-58.4093319,"Suipacha, Turdera, Partido de Lomas de Zamora, Buenos Aires, B1833, Argentina",Suipacha,362,Lomas de Zamora (referencia),Buenos Aires,"Suipacha, 362, Lomas de Zamora (referencia), Buenos Aires"
,,Campos 122,JI,913,230,0,233,0,233,2,-34.755464,-58.378257,"122, General Campos, Banfield, Partido de Lomas de Zamora, Buenos Aires, 1835, Argentina",Campos,122,Lomas de Zamora (referencia),Buenos Aires,"Campos, 122, Lomas de Zamora (referencia), Buenos Aires"
,,Pintos 1695,JI,914,125,0,125,0,125,2,-34.7481507,-58.3741333,"1695, General Pintos, Banfield, Partido de Lomas de Zamora, Buenos Aires, 1828, Argentina",Pintos,1695,Lomas de Zamora (referencia),Buenos Aires,"Pintos, 1695, Lomas de Zamora (referencia), Buenos Aires"
,,Av. Alte Brown 2129,JI,916,80,0,80,0,80,2,-34.76159410212766,-58.39650139574468,"2129, Almirante Brown, 1832, Almirante Brown, Lomas de Zamora, Buenos Aires, Argentina",Av. Alte Brown,2129,Lomas de Zamora (referencia),Buenos Aires,"Av. Alte Brown, 2129, Lomas de Zamora (referencia), Buenos Aires"
,,Senillosa 310,JI,924,130,0,130,0,130,2,-34.7695176,-58.3693719,"Jardín n.° 924, 310, Senillosa, Temperley, Partido de Lomas de Zamora, Buenos Aires, 1834, Argentina",Senillosa,310,Lomas de Zamora (referencia),Buenos Aires,"Senillosa, 310, Lomas de Zamora (referencia), Buenos Aires"
,,Villa Barcelo 480 Banfield Este,JI,927,145,0,145,0,145,2,-34.72478017234043,-58.427028770212765,"480, Barcelona, 1827, Barcelona, Villa Centenario, Buenos Aires, Argentina",Villa Barcelo  Banfield Este,480,Lomas de Zamora / alrededores,Buenos Aires,"Villa Barcelo  Banfield Este, 480, Lomas de Zamora / alrededores, Buenos Aires"
,,Golondrina 3607,JI,941,200,0,190,0,190,2,-34.761423,-58.35192,"La Golondrina, San José, Partido de Lomas de Zamora, Buenos Aires, B1844, Argentina",Golondrina,3607,Lomas de Zamora (referencia),Buenos Aires,"Golondrina, 3607, Lomas de Zamora (referencia), Buenos Aires"
