ZONA,colegios_con_coord,colegios_total,cupos_DMC_COMEDOR,camiones_necesarios_5000,min_conduccion_OSRM,min_ventanas_10min_entre_paradas,min_total_viaje_conduccion_mas_ventanas,km_ruta_aprox
1,24,24,10169,3,96.7,230,326.7,58.86
2,24,24,6729,2,80.8,230,310.8,45.57
3,26,26,20148,5,73.5,250,323.5,45.76
4,20,20,20151,5,91.1,190,281.1,54.12
5,18,18,8684,2,80.5,170,250.5,50.38
6,19,19,7522,2,102.3,180,282.3,62.51
7,30,30,15175,4,96.3,290,386.3,57.38
8,20,20,6192,2,143.6,190,333.6,97.39
9,35,35,13994,3,110.3,340,450.3,66.25
10,20,20,17179,4,154.8,190,344.8,137.93
11,18,18,17197,4,50.8,170,220.8,33.1
12,22,22,12407,3,97.8,210,307.8,62.48
