ZONA,viaje_n_en_zona,cupos_camion_capacidad,cupos_cargados,n_paradas,min_conduccion_OSRM,min_ventanas_10min_entre_paradas,min_total_viaje,km_ruta_OSRM,km_promedio_tramo_recto,km_max_tramo_recto,ids_filas_paradas,paradas_orden_visita
1,1,5000,4988,17,65.77,160,225.77,41.72,1.459,9.226,"12,11,21,20,13,14,15,16,9,10,6,8,4,22,17,3,5",[12] 3:Monroe 355 Temperley(110) | [11] 919:Juncal 240(110) | [21] 37:Meeks 778(972) | [20] 906:Av. Meeks 778(111) | [13] 9:Hipólito Yrigoyen 9243(484) | [14] 34:Jose Maria Penna 99(650) | [15] 930:Jose Maria Penna 93(120) | [16] 901:Jose Maria Penna 93(160) | [9] 503:Alvear 563(171) | [10] 902:Castelli 840(135) | [6] 91:Manuel Castro 990(0) | [8] 933:Manuel Castro 990(218) | [4] 1:Hipólito Yrigoyen 7731(500) | [22] 15:Alvear 1715(336) | [17] 89:Larroque 2200(90) | [3] 6:Viamonte 1567(600) | [5] 63:Viamonte 436(221)
1,2,5000,4818,6,64.46,50,114.46,47.307,4.696,14.183,"2,7,0,18,19,1",[2] 2:Anchoris 4566 Temperley Este(200) | [7] 21:Manuel Castro 990(2375) | [0] 49:Llaroque 1231(247) | [18] 70:Gabriel Miró 944(800) | [19] 87:Ostende 1260(496) | [1] 56:Ayolas 1135(700)
1,3,5000,363,1,36.29,0,36.29,27.612,10.154,10.154,23,[23] 953:Calle 109 Nº 1340(363)
2,1,5000,4880,18,71.04,170,241.04,47.07,1.717,10.993,"26,38,35,41,36,43,30,34,42,27,33,44,40,28,24,25,29,47",[26] 909:Suipacha 362(70) | [38] 40:Perito Moreno 260(670) | [35] 81:Indalecio Gomez 502(90) | [41] 32:Indalecio Gomez 502(460) | [36] 66:El Zorzal 2093(240) | [43] 47:El Zorzal 2093(618) | [30] 924:Senillosa 310(130) | [34] 86:Allemandri 1501(355) | [42] 45:Allemandri 1501(224) | [27] 913:Campos 122(233) | [33] 88:Campos 145 - 1ºpiso(400) | [44] 73:Gral Campos 145(670) | [40] 28:Boulogne Sur Mer 240(190) | [28] 914:Pintos 1695(125) | [24] 903:Belgrano 1645(150) | [25] 904:Medrano 175(175) | [29] 916:Av. Alte Brown 2129(80) | [47] 18A:Espronceda 199(0)
2,2,5000,1849,6,66.7,50,116.7,47.223,4.909,11.489,"37,39,32,31,45,46",[37] 68:Alte Brown 2153(618) | [39] 13:Avenida Alte Brown 2153(546) | [32] 941:Golondrina 3607(190) | [31] 927:Villa Barcelo 480 Banfield Est(145) | [45] 1134:Bolonia 655(200) | [46] 2437:Barcelona 1957(150)
3,1,5000,4921,10,49.28,90,139.28,37.496,2.386,12.726,"52,63,56,57,65,58,68,55,64,49",[52] 25:Presidente Perón 4002(630) | [63] 38:Chopin 350(350) | [56] 37:Mascagni 347(700) | [57] 40 SEDE:Luis Siciliano 1551(550) | [65] 76:Luis Siciliano 1551(600) | [58] 40 EXT:Celina de Minetto 1455(550) | [68] 81:Celina de Minetto 1455(666) | [55] 36:Caraza 1760(460) | [64] 39:Caraza 1760(250) | [49] 2097:El Plumerillo 769(165)
3,2,5000,4999,6,49.87,50,99.87,38.087,3.857,12.324,"51,62,61,53,69,66",[51] 11:Campana 524/534(1102) | [62] 19:Gabriela Mistral 312(558) | [61] 2645:Ostende y Labarden S/Nro(500) | [53] 30:Bucarest 1722(1120) | [69] 88:Bucarest 1722(919) | [66] 77:Bucarest 1780(800)
3,3,5000,4783,4,35.74,30,65.75,28.408,4.604,11.352,"50,71,54,60",[50] 71:Facundo Quiroga 1370(940) | [71] 94:Facundo Quiroga 1370 Santa Cat(1577) | [54] 32:Manuela Pedraza 3280(950) | [60] 9:Soldado Rodriguez 1299(1316)
3,4,5000,4635,5,60.21,40,100.21,45.85,5.593,14.546,"48,70,67,59,73",[48] 508:Espronceda 150(405) | [70] 92:Soldado Britos 1451 Santa Cata(1724) | [67] 79:Azamor 297(665) | [59] 67:Campana 360 Fiorito(751) | [73] 63:Campana 360 Fiorito(1090)
3,5,5000,810,1,47.75,0,47.75,42.147,15.449,15.449,72,[72] 98:Larrazabal 2879 Fiorito(810)
4,1,5000,4869,6,60.56,50,110.56,46.011,4.743,14.861,"88,81,83,76,87,80",[88] 26:Los Robles 108(920) | [81] 13:Hipolito Yrigoyen 9428(1100) | [83] 1:Manuel Castro 161(1400) | [76] 7:Saenz 450(849) | [87] 1:Sáenz 450(350) | [80] 73:Pilar 120(250)
4,2,5000,4592,4,51.04,30,81.04,35.882,5.082,11.741,"78,85,77,93",[78] 15:Dr Carlos Piocollivadino 267(980) | [85] 6:Gascon 150(2392) | [77] 12:Alberto Larroque 150(680) | [93] 97:Vernet 281(540)
4,3,5000,4280,4,61.83,30,91.83,46.588,7.072,13.987,"84,75,86,74",[84] 3:El Tordo 459(1500) | [75] 4:Larroque 2175(1100) | [86] 8:Pio Baroja 1802(1000) | [74] 926:Pio Baroja 2054(680)
4,4,5000,4190,4,47.27,30,77.27,38.092,5.87,14.311,"82,79,92,90",[82] 83:Quesada 2610(980) | [79] 22:Gabriel Miro 2480(1260) | [92] 90:Gabriel Miro 2450(750) | [90] 85:B.P. GaldosS 1998(1200)
4,5,5000,2220,2,46.61,10,56.61,40.179,10.028,14.861,"89,91",[89] 67:Pio Baroja2098(1300) | [91] 86:Pilar 120(920)
